% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=275306, Tue Jun 17 23:22:01 2025, <python>{}</python>
1 20 10.004674157029214 1.0000472233372089 -28.0 -2.8000000000000000e+01 -14.0 -2.0 8.5   
2 40 10.548837289448404 1.147329388200497 -44.0 -4.4000000000000000e+01 -18.0 -2.0 8.0   
3 60 11.142032452399128 1.2521028900777968 -55.0 -5.5000000000000000e+01 -28.0 -2.0 19.0   
4 80 11.764419863125909 1.3206427070298774 -55.0 -5.2000000000000000e+01 -26.0 -13.0 19.0   
5 100 12.547969423250386 1.3992484919809107 -55.0 -4.6000000000000000e+01 -24.0 -2.0 15.0   
6 120 12.84149833070014 1.4651161989852872 -55.0 -5.2000000000000000e+01 -28.0 -1.0 20.5   
7 140 13.05463958005964 1.517599329539155 -55.0 -4.4000000000000000e+01 -24.0 -1.0 28.0   
8 160 13.509729821031975 1.5390271916904736 -70.0 -7.0000000000000000e+01 -33.0 -13.0 11.0   
9 180 12.52903717142458 1.548488808246342 -124.0 -1.2400000000000000e+02 -24.0 -1.0 23.0   
10 200 11.684106254896305 1.610450652426855 -124.0 -6.1000000000000000e+01 -22.0 -1.0 17.0   
11 220 11.322265396609442 1.6023434919696533 -124.0 -4.9000000000000000e+01 -30.0 -12.0 16.0   
12 240 10.601856315441141 1.642504480924214 -124.0 -6.2000000000000000e+01 -36.0 -1.0 28.0   
13 260 10.24830601682031 1.6731022938102218 -124.0 -5.3000000000000000e+01 -34.0 -18.0 14.0   
14 280 10.092526443680043 1.6636725694497914 -124.0 -7.0000000000000000e+01 -31.0 -10.0 11.5   
15 300 10.635776686926489 1.7055477531726608 -124.0 -1.1600000000000000e+02 -34.0 -1.0 15.0   
16 320 11.503296922986332 1.6929257415852335 -124.0 -8.4000000000000000e+01 -35.0 -1.0 28.0   
17 340 12.28109187650308 1.7280890451323279 -124.0 -8.7000000000000000e+01 -30.0 -6.0 17.5   
18 360 12.621144655970202 1.7677665186684977 -124.0 -1.0600000000000000e+02 -35.0 -1.0 30.0   
19 380 12.610938891579718 1.7717209524990936 -124.0 -7.0000000000000000e+01 -32.0 -1.0 18.0   
20 400 11.47815398818892 1.7769843207418154 -124.0 -8.9000000000000000e+01 -33.0 -1.0 39.0   
21 420 11.41017813653184 1.8031020838607257 -124.0 -9.1000000000000000e+01 -31.0 -1.0 19.5   
22 440 11.53452052206533 1.7870834288986754 -124.0 -6.5000000000000000e+01 -29.0 -1.0 30.5   
23 460 11.198903881679389 1.804392844245689 -124.0 -7.1000000000000000e+01 -29.0 -1.0 21.0   
24 480 10.951927022158294 1.8482430760419641 -124.0 -9.3000000000000000e+01 -30.0 -1.0 29.0   
25 500 10.515692183109035 1.8252783023654264 -151.0 -1.5100000000000000e+02 -44.0 -1.0 36.5   
26 520 10.461669016108264 1.8708803834819412 -151.0 -9.0000000000000000e+01 -43.0 -1.0 29.0   
27 540 10.401542506838034 1.8946339839743065 -151.0 -7.9000000000000000e+01 -36.0 -6.0 20.5   
28 560 10.142571661501943 1.9490543643637277 -175.0 -1.7500000000000000e+02 -34.0 -6.0 18.5   
29 580 9.295680070315456 1.9317543381877325 -175.0 -7.2000000000000000e+01 -31.0 -4.0 34.0   
30 600 8.444437841884255 1.9518179672924685 -175.0 -1.3000000000000000e+02 -44.0 -3.0 34.5   
31 620 8.044272532001935 2.005853012979837 -175.0 -8.4000000000000000e+01 -46.0 -9.0 35.0   
32 640 7.688870920721191 2.0295784975734525 -175.0 -1.4500000000000000e+02 -48.0 -15.0 38.0   
33 660 7.69201184271507 2.059606939137731 -175.0 -9.8000000000000000e+01 -52.0 -7.0 38.5   
34 680 7.243194719975428 2.06923846616849 -175.0 -9.5000000000000000e+01 -48.0 -11.0 35.0   
35 700 7.126265777906534 2.0942473364265566 -175.0 -1.4100000000000000e+02 -55.0 -10.0 34.5   
36 720 6.937691206881083 2.152536954201652 -175.0 -1.3800000000000000e+02 -68.0 -20.0 37.0   
37 740 6.662305663947284 2.2232559675615957 -175.0 -1.7000000000000000e+02 -54.0 -18.0 58.0   
38 760 6.284737950677614 2.254738836486101 -175.0 -9.9000000000000000e+01 -53.0 -11.0 26.0   
39 780 6.176912063593709 2.297059427064999 -175.0 -1.5500000000000000e+02 -55.0 -8.0 47.0   
40 800 6.255301079526532 2.332430015006116 -175.0 -1.2700000000000000e+02 -63.0 -17.0 45.0   
41 820 5.858749422795643 2.3986898041435465 -175.0 -1.3300000000000000e+02 -44.0 -10.0 55.5   
42 840 5.585224489777012 2.4620460854731205 -175.0 -1.3500000000000000e+02 -68.0 -14.0 59.5   
43 860 5.264408510953843 2.4489424771989654 -175.0 -1.4200000000000000e+02 -72.0 -31.0 32.0   
44 880 4.81109662584912 2.463198576033015 -237.0 -2.3700000000000000e+02 -67.0 -29.0 52.0   
45 900 4.455191274104028 2.4910231881135942 -237.0 -1.6500000000000000e+02 -85.0 -13.0 51.0   
46 920 4.5526036751015315 2.5489698069810514 -237.0 -1.7600000000000000e+02 -88.0 -14.0 58.5   
47 940 4.54714519051879 2.5784012463253214 -237.0 -1.9700000000000000e+02 -79.0 -32.0 53.0   
48 960 4.182532768761802 2.629989666963144 -237.0 -1.5400000000000000e+02 -95.0 -34.0 52.5   
49 980 3.93510448512116 2.68115868970224 -237.0 -2.1900000000000000e+02 -87.0 -42.0 64.0   
50 1000 3.616773067871022 2.6541956141491614 -245.0 -2.4500000000000000e+02 -86.0 -36.0 93.0   
