EvalNumber,Fitness,TimeElapsed,initialGrass,initialBunny,initialFox,bunnyStart,bunnyFood,bunnyCooldown,bunnyFed,bunnyChildren,bunnyLiveLength,foxStart,foxCooldown,foxFed,foxChildren,foxLiveLength,grassFood,grassCooldown,grassChildren,grassLiveLength
69,13,0.0763,4,40,4,18,13,25,49,2,44,28,32,6,2,36,20,6,4,19
70,28,0.0691,41,19,6,36,44,10,48,2,27,36,14,22,4,23,35,22,3,24
71,16,0.0914,32,38,27,34,24,6,49,1,17,9,3,18,4,32,15,4,2,40
72,39,0.4186,26,29,3,25,30,1,41,1,44,30,1,16,3,38,32,2,4,43
73,31,0.0606,17,22,13,25,9,4,38,1,40,16,15,37,1,49,34,9,2,20
74,50,0.2766,39,35,21,43,26,9,40,2,34,3,26,21,4,48,49,1,4,13
75,18,0.1003,22,44,2,20,16,17,17,1,34,37,27,13,4,31,28,6,3,11
76,14,0.1181,49,16,17,18,40,6,36,1,14,29,21,14,2,14,9,2,3,11
77,28,0.1413,24,45,13,37,20,20,31,2,32,26,6,32,1,36,45,27,4,34
78,17,0.1579,27,19,7,20,32,35,48,3,36,6,23,25,3,24,44,6,2,27
79,30,0.1365,25,46,5,22,13,6,42,4,32,34,16,32,3,38,10,6,4,20
80,41,0.2629,45,45,30,20,39,2,48,2,41,5,10,23,3,31,15,5,4,29
81,20,0.209,49,34,5,36,38,1,42,3,33,3,16,5,3,49,17,18,3,29
82,7,0.0911,48,34,13,33,39,18,42,4,47,33,2,28,1,44,32,13,4,7
83,2,0.0679,36,34,21,4,25,14,36,3,21,13,12,22,3,43,21,15,3,2
84,26,0.1664,46,47,3,27,15,14,19,1,38,35,25,31,2,49,26,21,4,40
85,32,0.1065,25,21,6,30,47,11,30,2,40,13,1,17,2,34,29,7,4,37
86,30,0.1293,48,32,2,25,49,15,45,2,47,28,7,20,2,32,14,3,3,43
87,31,0.4407,46,41,3,28,28,1,47,1,39,15,12,34,3,49,44,4,4,28
88,25,0.0928,19,33,3,15,46,11,39,1,45,11,2,20,2,36,44,9,4,14
89,17,0.1106,39,49,1,38,29,9,48,3,24,45,25,10,3,43,26,17,2,22
90,15,0.1411,49,26,11,40,21,5,49,3,49,26,4,2,3,43,35,17,4,15
91,15,0.3238,42,48,16,31,33,7,27,3,39,17,2,10,4,40,49,20,4,31
92,16,0.0978,27,39,13,12,46,4,44,2,33,18,10,44,2,43,45,23,3,17
93,24,0.1096,42,32,18,6,18,4,17,1,47,39,35,8,3,23,20,10,4,38
94,35,0.1088,34,27,3,20,36,13,31,1,49,17,21,2,2,48,35,17,3,43
95,24,0.1636,47,43,6,49,35,20,33,4,35,5,2,32,2,48,27,21,2,24
96,27,0.0758,21,19,7,17,49,12,30,1,37,23,9,42,3,34,22,22,4,30
