Generation,Fitness,TimeElapsed
358,175,2.4751
359,175,2.1788
360,175,2.6443
361,175,2.9405
362,175,2.8517
363,175,2.9186
364,175,3.7988
365,175,3.8384
366,175,3.5808
367,175,3.1872
368,175,3.7667
369,175,4.4541
370,175,4.9444
371,175,4.9626
372,175,3.3698
373,175,3.7642
374,175,4.1543
375,175,3.0755
376,175,3.5978
377,175,4.2903
378,175,3.0217
379,175,2.8113
380,175,2.7312
381,175,2.8697
382,175,3.1812
383,175,2.0053
384,175,1.6952
385,175,1.9448
386,175,2.4182
387,175,3.7922
388,175,4.1668
389,175,4.2258
390,175,3.9747
391,175,2.8749
392,175,2.6093
393,175,2.9029
394,175,6.0636
395,175,6.8986
396,175,3.5307
397,175,2.5276
398,175,3.8196
399,175,4.9306
400,175,4.8845
401,175,3.1928
402,175,3.5206
403,175,3.8734
404,175,3.6733
405,175,4.2097
406,175,3.0523
407,175,4.0844
408,175,5.2522
409,175,4.5763
410,175,3.9976
411,175,2.8194
412,175,2.4667
413,175,3.9825
414,175,4.2234
415,175,6.4511
416,175,6.7023
417,175,4.4594
418,175,4.2348
419,175,3.1741
420,175,2.7093
421,175,3.3643
422,175,3.9218
423,175,3.871
424,175,3.1989
425,175,3.3376
426,175,2.8914
427,175,2.9943
428,175,3.494
429,175,4.2023
430,175,4.4733
431,175,4.2112
432,175,4.4164
433,175,3.4226
434,175,2.0297
435,175,1.8491
436,175,1.6463
437,175,2.1949
438,175,2.8067
439,175,2.8801
440,175,3.2658
441,175,3.4343
442,175,5.9755
443,194,6.7067
444,194,3.9598
445,194,3.0198
446,194,3.7896
447,194,4.0676
448,194,3.9933
449,194,3.275
450,194,2.8877
451,194,3.3594
452,194,2.9219
453,194,3.4741
454,194,3.324
455,194,3.2083
456,194,3.7097
457,194,3.4799
458,194,3.9812
459,194,5.1936
460,194,4.8168
461,194,3.7933
462,194,3.849
463,194,5.6582
464,194,8.1068
465,194,5.8584
466,194,4.5001
467,194,5.4042
468,194,5.0374
469,194,3.6802
470,194,3.6151
471,194,4.6016
472,194,4.3671
473,194,3.6003
474,194,3.2914
475,194,3.7274
476,194,3.9249
477,194,3.7981
478,194,4.3236
479,194,4.2968
480,194,4.7995
481,194,4.2332
482,194,3.2757
483,194,3.3457
484,194,3.1937
485,194,3.3535
486,194,3.3286
487,194,2.933
488,194,3.9007
489,194,5.8001
490,194,5.0519
491,194,3.2049
492,194,3.5947
493,194,3.6087
494,194,4.0713
495,194,4.9616
496,194,4.8903
497,194,5.1106
498,194,5.2719
499,194,3.8867
500,194,2.928
501,194,2.6096
502,194,2.3176
503,194,2.1981
504,194,2.083
505,241,4.6971
506,247,6.5942
507,247,4.6813
508,247,3.8511
509,247,3.7311
510,247,3.3241
511,247,3.7187
512,247,4.4435
513,247,3.5477
514,247,2.9798
515,247,4.1632
516,247,3.8554
517,247,2.973
518,247,2.8373
519,247,3.4657
520,247,3.301
521,247,2.7833
522,247,2.8836
523,247,3.8493
524,247,3.7737
525,247,2.9608
526,247,3.9785
527,247,3.9527
528,247,3.4103
529,247,4.6171
530,247,5.1089
531,247,4.8366
532,247,4.9731
533,247,4.8283
534,247,5.7036
535,247,4.8955
536,247,2.1211
537,247,2.7297
538,247,4.4614
539,247,5.242
540,247,4.5533
541,247,3.4108
542,247,4.1994
543,247,3.856
544,247,2.4638
545,247,2.7773
546,247,2.8013
547,247,2.4481
548,247,3.2174
549,247,3.9453
550,247,4.8998
551,247,4.4973
552,247,4.3056
553,247,5.4213
554,247,4.3459
555,247,3.8839
556,247,3.8093
557,247,3.4782
558,247,4.2829
559,247,3.8686
560,247,2.2458
561,247,1.79
562,247,2.1269
563,247,2.1822
564,247,2.3402
565,247,3.0503
566,247,2.7763
567,247,4.298
568,247,5.5375
569,247,4.3093
570,247,6.3616
571,247,7.34
572,247,5.0396
573,247,3.4989
574,247,2.943
575,247,3.1706
576,247,3.4101
577,247,2.9584
578,247,3.7571
579,247,4.1913
580,247,3.9437
581,247,4.0133
582,247,3.2332
583,247,2.6721
584,247,3.6029
585,247,4.0391
586,247,3.4688
587,247,5.3949
588,247,7.2174
589,247,7.0311
590,247,6.635
591,247,5.379
592,247,3.1294
593,247,1.9072
594,247,3.2172
595,247,3.8708
596,247,2.4646
597,247,2.9808
598,247,3.1125
599,247,3.061
600,247,2.6216
601,247,3.6534
602,247,3.6975
603,247,2.5358
604,247,2.789
605,247,3.4713
606,247,2.7115
607,247,3.1995
608,247,4.3832
609,247,3.2458
610,247,3.4861
611,247,3.0572
612,247,2.0595
613,247,2.329
614,247,2.5647
615,247,2.1891
616,247,2.4584
617,247,2.9952
618,247,3.4285
619,247,3.7677
620,247,4.2644
621,247,5.8582
622,247,5.4617
623,247,5.7734
624,247,6.3072
625,247,4.9973
626,247,3.3406
627,247,4.0279
628,247,4.5472
629,247,3.9011
630,247,4.6077
631,247,3.7114
632,247,3.115
633,247,3.2653
634,247,2.6046
635,247,2.1921
636,247,2.3051
637,247,3.1492
638,247,3.732
639,247,5.0926
640,247,7.4575
641,247,7.1842
642,247,6.0489
643,247,6.5929
644,247,5.6571
645,247,4.9669
646,247,6.7528
647,247,5.9687
648,247,4.2732
649,247,4.1852
650,247,5.1535
651,247,3.895
652,247,2.4527
653,247,2.4033
654,247,3.0291
655,247,3.4012
656,247,3.7051
657,247,4.0494
658,247,4.1001
659,247,3.7095
660,247,3.3904
661,247,3.7836
662,247,5.7879
663,247,7.174
664,247,9.2816
665,247,7.5119
666,247,5.173
667,247,5.0582
668,247,3.9401
669,247,3.2959
670,247,3.6008
671,247,5.9089
672,247,6.9816
673,247,4.2774
674,247,4.1455
675,247,4.9074
676,247,3.5008
677,247,2.0846
678,247,3.1744
679,247,5.2679
680,247,5.0974
681,247,4.2426
682,247,4.3402
683,247,4.9664
684,247,4.1114
685,247,3.176
686,247,2.3492
687,247,1.9514
688,247,1.7328
689,247,1.7073
690,247,1.9596
691,247,2.5197
692,247,2.8232
693,247,3.078
694,247,3.097
695,247,2.4451
696,247,3.3753
697,247,3.8508
698,247,2.9255
699,247,3.5803
700,247,4.1048
701,247,5.3607
702,247,6.6884
703,247,5.6059
704,247,4.1309
705,247,2.2915
706,247,2.4643
707,247,2.2936
708,247,1.8204
709,247,3.3834
710,247,3.5688
711,247,1.9525
712,247,3.1114
713,247,6.0782
714,247,6.1446
715,247,2.4877
716,247,2.5708
717,247,3.6292
718,247,2.9414
719,247,2.168
720,247,2.0192
721,247,2.2569
722,247,2.0092
723,247,1.7809
724,247,1.9809
725,247,1.9824
726,247,2.0893
727,247,3.2226
728,247,5.4048
729,247,5.0405
730,247,3.7524
731,247,2.9847
732,247,3.2166
733,247,3.7421
734,247,3.0347
735,247,2.5893
736,247,2.1146
737,247,2.1302
738,247,2.7628
739,247,3.3618
740,247,5.1679
741,247,4.9922
742,247,3.385
743,247,5.0436
744,247,5.0293
745,247,3.3782
746,247,3.3972
747,247,2.915
748,247,2.9105
749,247,2.8965
750,247,2.4934
751,247,3.8862
752,247,4.6083
753,247,2.8588
754,247,5.5278
755,247,6.8765
756,247,4.1455
757,247,2.6814
758,247,4.9569
759,247,4.7887
760,247,3.3636
761,247,3.0968
762,247,3.3029
763,247,4.1373
764,247,3.5396
765,247,4.1969
766,247,4.3134
767,247,3.2211
768,247,2.921
769,247,3.5587
770,247,5.7966
771,247,6.3212
772,247,6.1876
773,247,4.7289
774,247,2.2529
775,247,2.6078
776,247,2.4909
777,247,2.4667
778,247,3.5464
779,247,5.5504
780,247,5.8061
781,247,4.289
782,247,4.9574
783,247,6.4103
784,247,6.2061
785,247,5.2247
786,247,4.6605
787,247,3.5532
788,247,4.1431
789,247,3.9339
790,247,3.3089
791,247,5.1176
792,247,6.6016
793,247,5.9953
794,247,4.1803
795,247,4.5269
796,247,5.1865
797,247,3.8486
798,247,3.525
799,247,3.3226
800,247,4.4402
801,247,4.6275
802,247,3.7824
803,247,7.5722
804,247,7.6069
805,247,4.5258
806,247,5.3404
807,247,5.339
808,247,6.8377
809,247,7.4926
810,247,5.5645
811,247,5.1813
812,247,4.3931
813,247,3.3674
814,247,3.5163
815,247,4.7461
816,247,4.2657
817,247,2.215
818,247,2.1209
819,247,3.1285
820,247,3.7599
821,247,5.2389
822,247,5.3735
823,247,4.2664
824,247,6.3925
825,281,8.6737
826,270,7.5085
827,270,4.7298
828,270,3.6746
829,270,4.9113
830,270,5.8634
831,270,7.0338
832,270,5.7665
833,270,5.0978
834,270,6.8534
835,270,6.36
836,270,6.0966
837,270,6.4427
838,270,4.485
839,270,3.727
840,270,4.267
841,270,4.269
842,270,4.562
843,270,4.2502
844,270,4.6045
845,270,4.3013
846,270,3.7925
847,270,3.6838
848,270,3.838
849,270,3.8695
850,270,3.5251
851,270,4.2594
852,270,4.2246
853,270,4.4899
854,270,4.3899
855,270,2.7996
856,270,2.4916
857,270,2.8218
858,270,3.1831
859,270,3.12
860,270,4.0078
861,270,4.4149
862,270,4.1016
863,270,5.9013
864,270,5.4893
865,270,3.8281
866,270,4.1949
867,270,6.1525
868,270,5.6947
869,270,3.7409
870,270,4.2527
871,270,5.1471
872,270,5.9441
873,270,7.9784
874,270,8.0956
875,270,7.7541
876,270,6.4861
877,270,3.9284
878,270,3.5107
879,270,3.6224
880,270,5.5374
881,270,7.7151
882,270,7.1222
883,270,7.5013
884,270,8.5702
885,270,7.3382
886,270,7.0171
887,270,4.2386
888,270,3.6072
889,270,6.6753
890,270,8.3558
891,270,7.3151
892,270,8.2391
893,270,7.5479
894,270,3.9716
895,270,6.9982
896,270,7.7307
897,270,4.1576
898,270,3.8971
899,270,4.1136
900,270,4.1525
901,270,3.6961
902,270,3.9976
903,270,5.5009
904,270,5.0061
905,270,3.3131
906,270,4.2839
907,270,3.7487
908,270,3.3458
909,270,4.31
910,270,4.3097
911,270,3.5559
912,270,3.2781
913,270,3.337
914,270,4.9899
915,270,5.9161
916,270,4.8638
917,270,4.7567
918,270,4.5992
919,270,2.6167
920,270,4.0986
921,270,4.5377
922,270,6.8977
923,270,6.7028
924,270,2.9085
925,270,2.9048
926,270,2.6426
927,270,2.5446
928,270,3.7576
929,270,4.1984
930,270,3.7392
931,270,3.5356
932,270,3.3329
933,270,4.0868
934,270,5.6331
935,270,5.296
936,270,5.7498
937,270,4.5661
938,270,4.1071
939,270,3.9542
940,270,3.9652
941,270,3.5311
942,270,4.9771
943,270,8.2197
944,270,9.6964
945,270,6.8792
946,270,2.8521
947,270,4.1832
948,270,4.8379
949,270,4.6796
950,270,3.3836
951,270,3.4352
952,270,2.734
953,270,3.621
954,270,4.351
955,270,3.782
956,270,4.8996
957,270,8.2829
958,270,6.7141
959,270,6.214
960,270,5.8926
961,270,5.1593
962,270,5.4092
963,270,4.537
964,270,5.4556
965,270,6.8164
966,270,5.6947
967,270,5.5195
968,270,3.6229
969,270,5.7845
970,270,8.3578
971,270,6.2246
972,270,4.2003
973,270,4.7875
974,270,5.2757
975,270,7.4235
976,270,6.3152
977,270,5.3132
978,270,6.8445
979,270,5.8584
980,270,3.8541
981,270,2.4116
982,270,3.2295
983,270,3.5464
984,270,5.3176
985,270,6.8718
986,270,7.1067
987,270,9.1711
988,270,5.84
989,270,4.0565
990,270,4.0035
991,270,5.3759
992,270,3.7322
993,270,2.8154
994,270,3.7235
995,270,3.9857
996,270,4.616
997,270,4.2309
998,270,4.9802
999,270,4.2729
1000,270,2.5339
